req_id,description,implementation,api_endpoint,schema_field,bdd_tags,status
**US-TBSC-001**,Thunder Blessing Scatter — dual-hit symbol upgrade when marks present,§1.3: `ThunderBlessingHandler`,`POST /v1/spin`,"`spins.thunder_blessing_triggered`, `spins.upgraded_symbol`",,
US-TBSC-001 / AC-1,SC lands on marked grid → first hit converts all marks to same premium symbol,`ThunderBlessingHandler.applyFirstHit()`,`POST /v1/spin`,`thunderBlessingResult.convertedSymbol`,,
US-TBSC-001 / AC-2,RNG < 0.40 → second hit upgrades marked symbols one tier,`ThunderBlessingHandler.applySecondHit()`,`POST /v1/spin`,`thunderBlessingSecondHit = true`,,
US-TBSC-001 / AC-3,SC + no Lightning Marks → no Thunder Blessing,`ThunderBlessingHandler.evaluate()`,`POST /v1/spin`,`thunderBlessingTriggered = false`,,
US-TBSC-001 / AC-4,P1 upgrade boundary — stays P1,`ThunderBlessingHandler.upgradeSymbol()`,`POST /v1/spin`,Upgrade jump table in `GameConfig.generated.ts`,,
US-TBSC-001 / AC-5,Thunder Blessing → Cascade continues if new win,`ThunderBlessingHandler` + `CascadeEngine` pipeline,`POST /v1/spin`,`cascadeSequence.steps[]` post-TB,,
**US-COIN-001**,Coin Toss — rows=6 + cascade win → probability gate → FG entry,§1.3: `CoinTossEvaluator`,`POST /v1/spin`,"`spins.coin_toss_result`, `spins.coin_toss_triggered`",,
US-COIN-001 / AC-1,rows=6 + Cascade success → mgFgTriggerProb (0.009624) → coinProbs[0]=0.80 for Heads,"`CoinTossEvaluator.evaluate(rng, config, stage=0)`",`POST /v1/spin`,"`coinTossTriggered`, `coinTossResult`",,
US-COIN-001 / AC-2,Coin Toss Heads (main game) → FG starts at ×3,`FreeGameOrchestrator.runSequence()`,`POST /v1/spin`,"`fgTriggered = true`, `fgMultiplier = 3`",,
US-COIN-001 / AC-3,"Coin Toss Tails → no FG, spin ends",`CoinTossEvaluator.evaluate()`,`POST /v1/spin`,`fgTriggered = false`,,
US-COIN-001 / AC-4,"buyFG mode → entryBuy=1.00, bypasses mgFgTriggerProb","`BuyFeatureUseCase`, `CoinTossEvaluator`",`POST /v1/spin` (buyFeature=true),`spins.buy_feature_active`,,
US-COIN-001 / AC-5,rows < 6 → Coin Toss never triggered,`SlotEngine.spin()` rows guard,`POST /v1/spin`,`coinTossTriggered = false` when `finalRows < 6`,,
**US-FGAM-001**,"Free Game — Lightning Marks persist cross-Spin, ×3→×7→×17→×27→×77 sequence","§1.3: `FreeGameOrchestrator`, §5.6",`POST /v1/spin`,"`spins.fg_triggered`, `spins.fg_multiplier`, `fg_sessions` table (SCHEMA §2.3)",,
US-FGAM-001 / AC-1,"FG round 1 uses freeGame weights, inherits marks from main game, win × 3",`FreeGameOrchestrator.runSingleRound()`,`POST /v1/spin`,"`fgRounds[0].lightningMarksBefore`, `fgRounds[0].multiplier = 3`",,
US-FGAM-001 / AC-2,2nd FG Coin Toss Heads → multiplier upgrades ×3→×7,`FreeGameOrchestrator.runSequence()` stage progression,`POST /v1/spin`,`fgRounds[1].multiplier = 7`,,
US-FGAM-001 / AC-3,Multiplier at ×77 with Heads → stays at ×77,`FreeGameOrchestrator` max multiplier guard,`POST /v1/spin`,"`fgMultiplier` enum [3,7,17,27,77]",,
US-FGAM-001 / AC-4,"Any FG Coin Toss Tails → FG ends, marks cleared",`FreeGameOrchestrator.runSequence()` termination,`POST /v1/spin`,"`fgRounds[n].coinTossResult = ""TAILS""`, `lightningMarks = []`",,
US-FGAM-001 / AC-5,"buyFG mode → exactly 5 FG rounds, multipliers [3,7,17,27,77]","`BuyFeatureUseCase`, `FreeGameOrchestrator`",`POST /v1/spin` (buyFeature=true),`fgRounds.length === 5`,,
US-FGAM-001 / AC-6,FG Bonus multiplier drawn once (×1/×5/×20/×100) from fgBonus weights,`FreeGameOrchestrator.drawBonusMultiplier()`,`POST /v1/spin`,"`fgBonusMultiplier`, `spins.bonus_multiplier`",,
US-FGAM-001 / AC-7,"×77 + Tails → FG ends immediately, marks cleared, totalWin returned",`FreeGameOrchestrator` termination + `SessionFloorGuard`,`POST /v1/spin`,`totalWin` in response,,
**US-FGREC-001**,FG disconnection recovery — restore from Redis/PostgreSQL,"§4.1: `RedisSessionCache`, `SupabaseSessionRepository`",`GET /v1/session/:sessionId`,`fg_sessions` table (SCHEMA §2.3); Redis `session:{sessionId}:state`,,
US-FGREC-001 / AC-1,FG in progress + valid JWT → backend restores FG state from Redis,"`RedisSessionCache.get()`, `GetSessionStateUseCase`",`GET /v1/session/:sessionId` → 200,"`fg_sessions.fg_multiplier`, `fg_sessions.lightning_marks`",,
US-FGREC-001 / AC-2,FG state restored → frontend resumes from breakpoint,`GetSessionStateUseCase` → `SessionStateDTO`,`GET /v1/session/:sessionId`,"`status = ""FG_ACTIVE""`, `completedRounds[]`",,
US-FGREC-001 / AC-3,"JWT expired on reconnect → 401, FG state preserved",`JwtAuthGuard`,`GET /v1/session/:sessionId` → 401,Session TTL not reset on auth failure,,
US-FGREC-001 / AC-4,FG not in progress → no recovery triggered,`GetSessionStateUseCase` fg_in_progress check,`GET /v1/session/:sessionId`,"`status = ""COMPLETE""` or `SPINNING`",,
**US-EXBT-001**,"Extra Bet — ×3 cost, guaranteed SC in visible 3 rows",§1.3: `SlotEngine.generateGrid()` (isExtraBet flag),`POST /v1/spin` (extraBet=true),"`spins.extra_bet_active`, `extraBetActive` in response",,
US-EXBT-001 / AC-1,"Extra Bet ON + baseBet=$0.25 → debit $0.75, use extraBet weights, SC guaranteed",`SlotEngine.generateGrid(isExtraBet=true)`,`POST /v1/spin`,`totalBet = baseBet × 3`,,
US-EXBT-001 / AC-2,Natural SC present → no forced injection,`SlotEngine.generateGrid()` SC check,`POST /v1/spin`,`forceScatter` flag logic,,
US-EXBT-001 / AC-3,No natural SC → random row 0-2 cell replaced with SC,`SlotEngine.generateGrid()` forced injection,`POST /v1/spin`,Grid positions with SC in rows 0-2,,
US-EXBT-001 / AC-4,"Extra Bet OFF → mainGame weights, baseBet debit",`SlotEngine.generateGrid(isExtraBet=false)`,`POST /v1/spin` (extraBet=false),`extraBetActive = false`,,
US-EXBT-001 / AC-5,Extra Bet ON + Buy Feature → fee = 300 × baseBet,`BuyFeatureUseCase` fee calculation,"`POST /v1/spin` (extraBet=true, buyFeature=true)",`totalBet = baseBet × 300`,,
**US-BUYF-001**,"Buy Feature — 100× baseBet, guaranteed 5 Heads, session floor ≥ 20×","§1.3: `BuyFeatureUseCase`, `SessionFloorGuard`, §5.7",`POST /v1/spin` (buyFeature=true),"`spins.buy_feature_active`, `spins.session_floor_applied`",,
US-BUYF-001 / AC-1,"Balance ≥ 100×, extraBet OFF → debit 100×, mode=buyFG, 5 rounds guaranteed",`BuyFeatureUseCase`,`POST /v1/spin`,"`buyFeatureActive = true`, `fgRounds.length = 5`",,
US-BUYF-001 / AC-2,"totalWin < 20× → floor applied, totalWin raised to 20×",`SessionFloorGuard.applyFloor()`,`POST /v1/spin`,"`sessionFloorApplied = true`, `sessionFloorValue`",,
US-BUYF-001 / AC-3,"Extra Bet + Buy Feature → fee=300×, floor=60×",`BuyFeatureUseCase` + `SessionFloorGuard`,`POST /v1/spin`,`sessionFloorValue = 60 × baseBet`,,
US-BUYF-001 / AC-4,Balance < 100× → 400 INSUFFICIENT_FUNDS,`SpinUseCase` balance check,`POST /v1/spin` → 400,`players.balance`,,
US-BUYF-001 / AC-5,buyFG weights used exclusively,`SlotEngine.generateGrid()` weight selection,`POST /v1/spin`,`GameConfig.generated.ts` weights.buyFG,,
US-BUYF-001 / AC-6,Extra Bet ON + balance < 300× → 400,`SpinUseCase`,`POST /v1/spin` → 400 INSUFFICIENT_FUNDS,`players.balance`,,
**US-NRMS-001**,"Near Miss — Excel-defined, toolchain configured, zero win",§14.7: `NearMissSelector` (config-driven),`POST /v1/spin`,`nearMissApplied` in response; `spins.near_miss_applied`,,
US-NRMS-001 / AC-1,Excel DATA tab → build_config.js → GameConfig.generated.ts,`build_config.js` toolchain,N/A (build-time),`GameConfig.generated.ts` nearMiss config block,,
US-NRMS-001 / AC-2,"Near Miss trigger → win = 0, no RTP impact",`NearMissSelector.select()`,`POST /v1/spin`,"`totalWin = 0`, `nearMissApplied = true`",,
US-NRMS-001 / AC-3,No hardcoded Near Miss in SlotEngine.ts,Code convention + CI check,N/A,`GameConfig.generated.ts` only source,,
US-NRMS-001 / AC-4,Near Miss does not affect RTP ±1%,`verify.js` 4-scenario check,N/A (toolchain),`verify_report.txt` PASS,,
**US-TOOL-001**,slot-engine toolchain — Excel → engine_config.json → GameConfig.generated.ts,"§14.1: `build_config.js`, `excel_simulator.js`, `verify.js`, `engine_generator.js`",N/A (build-time toolchain),"`GameConfig.generated.ts`, `engine_config.json`",,
US-TOOL-001 / AC-1,Excel DATA tab edit → build_config.js → engine_config.json updated,`build_config.js`,N/A,`engine_config.json`,,
US-TOOL-001 / AC-2,engine_config.json → excel_simulator.js → 1M Monte Carlo → SIMULATION + DESIGN_VIEW tabs,`excel_simulator.js`,N/A,SIMULATION / DESIGN_VIEW Excel tabs,,
US-TOOL-001 / AC-3,SIMULATION written → verify.js → RTP ±1% → verify_report.txt PASS,`verify.js`,N/A,`verify_report.txt`,,
US-TOOL-001 / AC-4,verify.js PASS → engine_generator.js → GameConfig.generated.ts with no-edit header,`engine_generator.js`,N/A,`GameConfig.generated.ts`,,
US-TOOL-001 / AC-5,verify.js FAIL → engine_generator.js blocked,`verify.js` hard gate,N/A,CI exit code ≠ 0,,
**US-RTPV-001**,RTP verification — 4 scenarios ±1% via verify.js 1M Monte Carlo,§14.4: `verify.js`,N/A (toolchain),`verify_report.txt`,,
US-RTPV-001 / AC-1,"Scenario 1 (Main Game, EB Off): RTP 96.5%–98.5%",`verify.js` scenario 1,N/A,`verify_report.txt` ✅,,
US-RTPV-001 / AC-2,"Scenario 2 (Main Game, EB On): RTP 96.5%–98.5%",`verify.js` scenario 2,N/A,`verify_report.txt` ✅,,
US-RTPV-001 / AC-3,"Scenario 3 (FG, BuyFG Off): RTP 96.5%–98.5%",`verify.js` scenario 3,N/A,`verify_report.txt` ✅,,
US-RTPV-001 / AC-4,Scenario 4 (Buy Free Game): RTP 96.5%–98.5%,`verify.js` scenario 4,N/A,`verify_report.txt` ✅,,
US-RTPV-001 / AC-5,"Any scenario fails → verify.js outputs ❌, blocks engine_generator.js",`verify.js` + CI gate,N/A,CI pipeline gate QG-06,,
**US-CURR-001**,"USD / TWD currency — from BetRangeConfig.generated.ts, no hardcoded values",§6.5: `CurrencyFormatter`,`GET /v1/config`,`BetRangeConfig.generated.ts`,,
US-CURR-001 / AC-1,"USD fetchBetRange: min $0.25, max $10.00, step $0.25","`CurrencyFormatter`, `BetRangeConfig`",`GET /v1/config`,`betRange.USD.levels[]`,,
US-CURR-001 / AC-2,"TWD fetchBetRange: min 10, max 320, step 10","`CurrencyFormatter`, `BetRangeConfig`",`GET /v1/config`,`betRange.TWD.levels[]`,,
US-CURR-001 / AC-3,No hardcoded bet range in BetRangeService.ts,Code review gate,N/A,`BetRangeConfig.generated.ts` only source,,
US-CURR-001 / AC-4,Excel BET_MAX_LEVEL change → BetRangeConfig.generated.ts auto-updates,Toolchain propagation,`GET /v1/config`,`BetRangeConfig.generated.ts`,,
**US-APIV-001**,"Single-trip API — complete FG sequence in one response, JWT on every spin","§1.3: `JwtAuthGuard`, ADR-002",`POST /v1/spin`,Full `FullSpinOutcome` JSON (API §3.1),,
US-APIV-001 / AC-1,Main Game with FG (×3→×7→Tails): one response contains baseSpins + fgSpins,`FreeGameOrchestrator` embedded in `SpinUseCase`,`POST /v1/spin`,`fgRounds[]` in single response,,
US-APIV-001 / AC-2,"buyFG: fgRounds.length = 5, multipliers [3,7,17,27,77]",`BuyFeatureUseCase` + `FreeGameOrchestrator`,`POST /v1/spin`,`fgRounds[0..4].multiplier`,,
US-APIV-001 / AC-3,Base spin P99 ≤ 500ms; FG sequence P99 ≤ 800ms at 100 RPS,API performance (k6),`POST /v1/spin`,QG-07/QG-08 in CI,,
US-APIV-001 / AC-4,"Invalid JWT → 401, no game logic executed",`JwtAuthGuard`,`POST /v1/spin` → 401,Supabase Auth,,
US-APIV-001 / AC-5,UI displays outcome.totalWin only (not session.roundWin),`SpinUseCase` authority rule,`POST /v1/spin`,`totalWin` sole authority,,
**US-FEND-001** (P1),"Frontend animation — FullSpinOutcome contains cascadeSteps, lightningMarks, fgSpins",§4.1: `SpinResponse.dto.ts`,`POST /v1/spin`,Full `FullSpinOutcome` schema (API §3.1),,
US-FEND-001 / AC-1,"FullSpinOutcome contains cascadeSteps, lightningMarks, fgSpins with correct structure",`SpinResponse.dto.ts` serialization,`POST /v1/spin`,"`cascadeSequence`, `fgRounds[]`",,
US-FEND-001 / AC-2,FG triggered: frontend plays fgSpins sequentially without extra API requests,Single-trip design (ADR-002),`POST /v1/spin`,`fgRounds[]` array sequential,,
US-FEND-001 / AC-3,"Frontend shows outcome.totalWin, not client-computed sum",API contract + Pure View,`POST /v1/spin`,`totalWin` field,,
US-FEND-001 / AC-4,No FG: fgRounds = [] handled gracefully,`SpinUseCase` conditional,`POST /v1/spin`,`fgRounds: []`,,
US-FEND-001 / AC-5,FullSpinOutcome matches OpenAPI spec,`SpinResponse.dto.ts` + AJV validation,`POST /v1/spin`,OpenAPI schema in API §3.1,,
Req ID,Requirement Summary,Server BDD Tags,Client BDD Tags,Coverage Status,,
**US-SPIN-001**,"Base reel spin (P99 ≤ 500ms, 5×3, Wild)","`TC-INT-API-001-HAPPY`, `TC-UNIT-EXBT-004-HAPPY`, `TC-UNIT-CASC-002-HAPPY`, `TC-INT-API-004-ERROR`, `TC-INT-API-005-ERROR`, `TC-INT-API-006-ERROR`, `TC-INT-API-002-ERROR`, `TC-INT-API-003-ERROR`, `TC-UNIT-MAXWIN-001-BOUNDARY`, `TC-INT-API-011`, `TC-INT-API-016`, `TC-INT-API-017`, `TC-INT-API-019`, `TC-INT-API-020`","`TC-E2E-SPIN-001`, `TC-E2E-SPIN-002`, `TC-E2E-SPIN-003`, `TC-E2E-SPIN-004`, `TC-E2E-SPIN-005`, `TC-E2E-SPIN-006`, `TC-E2E-SPIN-007`, `TC-E2E-SPIN-008`, `TC-E2E-SPIN-009`, `TC-E2E-ERR-001`, `TC-E2E-ERR-002`",COVERED,,
US-SPIN-001 / AC-1,Spin returns FullSpinOutcome ≤ 500ms,`TC-INT-API-001-HAPPY`,`TC-E2E-SPIN-001`,COVERED,,
US-SPIN-001 / AC-2,Balance < baseBet → error,`TC-INT-API-004-ERROR`,"`TC-E2E-ERR-001`, `TC-E2E-SPIN-002`",COVERED,,
US-SPIN-001 / AC-3,Expired/missing JWT → 401,"`TC-INT-API-002-ERROR`, `TC-INT-API-003-ERROR`, `TC-SEC-AUTH-001`, `TC-SEC-AUTH-003`",`TC-E2E-ERR-004`,COVERED,,
US-SPIN-001 / AC-4,"Concurrent spin → 409, button locked","`TC-INT-API-012`, `TC-INT-API-021`",`TC-E2E-SPIN-003`,COVERED,,
US-SPIN-001 / AC-5,Wild substitution logic,`TC-UNIT-CASC-002-HAPPY`,—,PARTIAL,,
**US-CASC-001**,Cascade elimination + Lightning Mark + row expansion,"`TC-UNIT-CASC-002-HAPPY`, `TC-INT-API-010-HAPPY`, `TC-INT-FG-001-HAPPY`, `TC-INT-FG-002-HAPPY`, `TC-INT-FG-003-HAPPY`","`TC-E2E-CASC-001`, `TC-E2E-CASC-002`, `TC-E2E-CASC-003`, `TC-E2E-CASC-004`, `TC-E2E-CASC-005`, `TC-E2E-CASC-006`, `TC-E2E-CASC-007`, `TC-E2E-CASC-008`",COVERED,,
US-CASC-001 / AC-1,"Win → mark, eliminate, rows 3→4, paylines 25→33","`TC-UNIT-CASC-002-HAPPY`, `TC-INT-API-010-HAPPY`","`TC-E2E-CASC-001`, `TC-E2E-CASC-002`",COVERED,,
US-CASC-001 / AC-2,MAX_ROWS=6 boundary — no further expansion,—,`TC-E2E-CASC-005`,PARTIAL,,
US-CASC-001 / AC-3,New spin resets marks + rows,`TC-INT-FG-003-HAPPY`,—,PARTIAL,,
US-CASC-001 / AC-4,Same payline not double-counted,—,—,NOT-COVERED,,
US-CASC-001 / AC-5,3+ cascade steps — each CascadeStep recorded,"`TC-INT-API-010-HAPPY`, `TC-INT-FG-001-HAPPY`","`TC-E2E-CASC-003`, `TC-E2E-CASC-004`",COVERED,,
**US-TBSC-001**,Thunder Blessing Scatter dual-hit upgrade,"`TC-UNIT-TB-001-HAPPY`, `TC-UNIT-TB-002-HAPPY`","`TC-E2E-TB-001`, `TC-E2E-TB-002`, `TC-E2E-TB-003`, `TC-E2E-TB-004`, `TC-E2E-TB-005`, `TC-E2E-TB-006`",COVERED,,
US-TBSC-001 / AC-1,First hit: marks → same premium symbol,`TC-UNIT-TB-001-HAPPY`,"`TC-E2E-TB-001`, `TC-E2E-TB-002`",COVERED,,
US-TBSC-001 / AC-2,Second hit (RNG<0.40): tier upgrade,`TC-UNIT-TB-002-HAPPY`,`TC-E2E-TB-003`,COVERED,,
US-TBSC-001 / AC-3,SC + no marks → no Thunder Blessing,—,`TC-E2E-TB-006`,PARTIAL,,
US-TBSC-001 / AC-4,P1 boundary — stays P1,—,—,NOT-COVERED,,
US-TBSC-001 / AC-5,Post-TB cascade continues on win,—,`TC-E2E-TB-004`,PARTIAL,,
**US-COIN-001**,Coin Toss — rows=6 + cascade win → FG entry,"`TC-UNIT-COIN-004-HAPPY`, `TC-UNIT-COIN-006-BOUNDARY`, `TC-INT-FG-001-HAPPY`","`TC-E2E-COIN-001`, `TC-E2E-COIN-002`, `TC-E2E-COIN-003`, `TC-E2E-COIN-004`, `TC-E2E-COIN-005`, `TC-E2E-COIN-006`, `TC-E2E-COIN-007`",COVERED,,
US-COIN-001 / AC-1,mgFgTriggerProb + coinProbs[0]=0.80,—,`TC-E2E-COIN-001`,PARTIAL,,
US-COIN-001 / AC-2,Heads → FG at ×3,`TC-INT-FG-001-HAPPY`,`TC-E2E-COIN-002`,COVERED,,
US-COIN-001 / AC-3,Tails → no FG,—,`TC-E2E-COIN-003`,PARTIAL,,
US-COIN-001 / AC-4,"buyFG → entryBuy=1.00, guaranteed Heads",`TC-UNIT-COIN-004-HAPPY`,`TC-E2E-COIN-005`,COVERED,,
US-COIN-001 / AC-5,rows < 6 → no Coin Toss,`TC-UNIT-COIN-006-BOUNDARY`,—,PARTIAL,,
**US-FGAM-001**,Free Game ×3→×77 multiplier sequence,"`TC-UNIT-FG-002-HAPPY`, `TC-UNIT-FG-003-HAPPY`, `TC-UNIT-FG-004-BOUNDARY`, `TC-INT-FG-001-HAPPY`, `TC-INT-FG-002-HAPPY`, `TC-INT-FG-003-HAPPY`","`TC-E2E-FG-001`, `TC-E2E-FG-002`, `TC-E2E-FG-003`, `TC-E2E-FG-004`, `TC-E2E-FG-005`, `TC-E2E-FG-006`, `TC-E2E-FG-007`, `TC-E2E-FG-008`, `TC-E2E-FG-009`",COVERED,,
US-FGAM-001 / AC-1,"FG round 1: freeGame weights, inherited marks, win × 3",`TC-INT-FG-001-HAPPY`,`TC-E2E-FG-001`,COVERED,,
US-FGAM-001 / AC-2,Heads → ×3→×7,`TC-UNIT-FG-004-BOUNDARY`,`TC-E2E-FG-002`,COVERED,,
US-FGAM-001 / AC-3,At ×77 + Heads → stays ×77,`TC-UNIT-FG-004-BOUNDARY`,`TC-E2E-FG-005`,COVERED,,
US-FGAM-001 / AC-4,"Tails → FG ends, marks cleared",`TC-INT-FG-003-HAPPY`,`TC-E2E-FG-006`,COVERED,,
US-FGAM-001 / AC-5,"buyFG: exactly 5 rounds, all multipliers",`TC-INT-FG-001-HAPPY`,`TC-E2E-FG-001`,COVERED,,
US-FGAM-001 / AC-6,FG Bonus multiplier drawn once (×1/×5/×20/×100),"`TC-UNIT-FG-002-HAPPY`, `TC-UNIT-FG-003-HAPPY`",`TC-E2E-FG-004`,COVERED,,
US-FGAM-001 / AC-7,"×77 + Tails → immediate FG end, marks cleared",`TC-INT-FG-003-HAPPY`,`TC-E2E-FG-007`,COVERED,,
**US-FGREC-001** (P1),FG disconnection recovery,"`TC-INT-API-012-HAPPY`, `TC-INT-API-012b-HAPPY`, `TC-INT-API-013-ERROR`, `TC-SEC-SESSION-001`","`TC-E2E-SESS-001`, `TC-E2E-SESS-002`, `TC-E2E-SESS-003`, `TC-E2E-SESS-004`, `TC-E2E-SESS-005`, `TC-E2E-SESS-006`",COVERED,,
US-FGREC-001 / AC-1,Valid JWT + FG in progress → restore from Redis,`TC-INT-API-012-HAPPY`,`TC-E2E-SESS-001`,COVERED,,
US-FGREC-001 / AC-2,Restored state → frontend resumes correctly,`TC-INT-API-012b-HAPPY`,`TC-E2E-SESS-002`,COVERED,,
US-FGREC-001 / AC-3,"JWT expired on reconnect → 401, state preserved",`TC-SEC-SESSION-AUTH-001`,`TC-E2E-SESS-005`,COVERED,,
US-FGREC-001 / AC-4,FG not in progress → no recovery,`TC-INT-API-013-ERROR`,`TC-E2E-SESS-006`,COVERED,,
**US-EXBT-001**,"Extra Bet — ×3 cost, guaranteed SC","`TC-UNIT-EXBT-001-HAPPY`, `TC-UNIT-EXBT-001b-HAPPY`, `TC-UNIT-EXBT-002-HAPPY`, `TC-UNIT-EXBT-003-HAPPY`, `TC-UNIT-EXBT-004-HAPPY`, `TC-UNIT-EXBT-004b-HAPPY`, `TC-INT-BUYF-002b-HAPPY`","`TC-E2E-EXBT-001`, `TC-E2E-EXBT-002`, `TC-E2E-EXBT-003`, `TC-E2E-EXBT-004`, `TC-E2E-EXBT-005`, `TC-E2E-EXBT-006`",COVERED,,
US-EXBT-001 / AC-1,"EB ON → debit ×3, extraBet weights, SC guaranteed","`TC-UNIT-EXBT-001-HAPPY`, `TC-UNIT-EXBT-001b-HAPPY`",`TC-E2E-EXBT-001`,COVERED,,
US-EXBT-001 / AC-2,Natural SC → no forced injection,`TC-UNIT-EXBT-002-HAPPY`,`TC-E2E-EXBT-003`,COVERED,,
US-EXBT-001 / AC-3,No natural SC → forced inject,`TC-UNIT-EXBT-003-HAPPY`,`TC-E2E-EXBT-004`,COVERED,,
US-EXBT-001 / AC-4,"EB OFF → mainGame weights, standard debit","`TC-UNIT-EXBT-004-HAPPY`, `TC-UNIT-EXBT-004b-HAPPY`",`TC-E2E-EXBT-002`,COVERED,,
US-EXBT-001 / AC-5,EB + BuyFG → 300× baseBet,`TC-INT-BUYF-002b-HAPPY`,`TC-E2E-BUY-005`,COVERED,,
**US-BUYF-001**,"Buy Feature — 100× cost, 5 guaranteed Heads, floor ≥ 20×","`TC-INT-BUYF-001-HAPPY`, `TC-INT-BUYF-002-HAPPY`, `TC-INT-BUYF-002`, `TC-INT-BUYF-003-HAPPY`, `TC-UNIT-FLOOR-001-HAPPY`, `TC-INT-BUYF-003`, `TC-INT-BUYF-004`, `TC-INT-API-009-HAPPY`","`TC-E2E-BUY-001`, `TC-E2E-BUY-002`, `TC-E2E-BUY-003`, `TC-E2E-BUY-004`, `TC-E2E-BUY-005`, `TC-E2E-BUY-006`, `TC-E2E-BUY-007`",COVERED,,
US-BUYF-001 / AC-1,"Balance ≥ 100× → debit, 5 rounds","`TC-INT-BUYF-001-HAPPY`, `TC-INT-API-009-HAPPY`",`TC-E2E-BUY-001`,COVERED,,
US-BUYF-001 / AC-2,totalWin < 20× → floor applied,"`TC-INT-BUYF-003-HAPPY`, `TC-UNIT-FLOOR-001-HAPPY`",`TC-E2E-BUY-003`,COVERED,,
US-BUYF-001 / AC-3,"EB + BuyFG → fee=300×, floor=60×",`TC-INT-BUYF-002-HAPPY`,`TC-E2E-BUY-005`,COVERED,,
US-BUYF-001 / AC-4,Balance < 100× → 400,`TC-INT-BUYF-004`,`TC-E2E-BUY-006`,COVERED,,
US-BUYF-001 / AC-5,buyFG weights used exclusively,—,—,NOT-COVERED,,
US-BUYF-001 / AC-6,EB ON + balance < 300× → 400,`TC-INT-BUYF-003`,`TC-E2E-BUY-007`,COVERED,,
**US-NRMS-001**,"Near Miss — Excel-defined, no code customization, zero win",—,—,NOT-COVERED,,
US-NRMS-001 / AC-1,Excel → build_config.js → GameConfig,—,—,NOT-COVERED,,
US-NRMS-001 / AC-2,"Near Miss → win=0, no RTP impact",—,—,NOT-COVERED,,
US-NRMS-001 / AC-3,No hardcoded Near Miss in SlotEngine.ts,—,—,NOT-COVERED,,
